IP Addresses,MAC Addresses,Manufacturers,Trusted,Alias,DNS Names,NetBios Names,SSDP Manufacturers,SSDP Models,SSDP Names,SSDP UDNs,SNMP Names,mDNS Services,HTTP Servers,Ping (AVG)
172.31.0.22,08:00:27:d6:ea:1e,PCS Systemtechnik GmbH,false,,,DESKTOP-NDABFST,,,,,,,,
172.31.0.30,08:00:27:91:38:da,PCS Systemtechnik GmbH,false,,,,,,,,,,,
172.31.0.41,68:05:ca:17:45:9b,Intel Corporate,false,,,SYMFONIA,,,,,,,,
172.31.0.49,24:5e:be:61:01:2c,"QNAP Systems, Inc.",false,,,NAS-ZAWOJA,,,,,,,,
172.31.0.80,00:e0:4c:36:0b:1a,REALTEK SEMICONDUCTOR CORP.,false,,,,,,,,,,,
172.31.0.81,20:47:47:84:32:a2,Dell Inc.,false,,,WIN-5U1176CS0GH,,,,,,,,
172.31.0.92,cc:96:e5:05:35:eb,Dell Inc.,false,,,DESKTOP-DQRB7CC,,,,,,,,
172.31.0.100,00:0b:82:9a:6b:cc,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.101,00:0b:82:9a:6b:ce,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.102,00:0b:82:9a:6b:ca,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.103,00:0b:82:9a:6b:cb,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.104,00:0b:82:9a:6b:d0,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.105,00:0b:82:9a:6b:d6,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.106,00:0b:82:9a:6b:cf,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.107,00:0b:82:dd:97:48,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.108,00:0b:82:9a:6b:cd,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.1.1,,,false,,,,,,,,,,,
172.31.1.2,60:e3:27:50:db:5b,"TP-LINK TECHNOLOGIES CO.,LTD.",false,,,,,,,,,,Loading... (Web Switch),
172.31.1.3,,,false,,,,,,,,,,,
172.31.1.8,cc:08:fa:a7:e7:78,"Apple, Inc.",false,,,MAC-A7E778,,,,,,,,170.462465
"[""172.31.1.10"",""172.31.1.20""]","[""00:08:9b:cb:50:bd"",""00:08:9b:cb:50:bc""]",ICP Electronics Inc.,false,,,NAS-IPC,,,,,,,400 Bad Request (Apache),102.25324
172.31.1.12,,,false,,,,,,,,,,,
172.31.1.14,bc:03:58:d2:c8:c3,Intel Corporate,false,,,,,,,,,,,
172.31.1.18,,,false,,,,,,,,,,,
172.31.1.19,e4:4c:c7:dc:84:ea,IEEE Registration Authority,false,,,,,,,,,,,161.686578
172.31.1.21,e0:c2:64:e2:ed:16,Intel Corporate,false,,,,,,,,,,,
172.31.1.25,,,false,,,,,,,,,,,
172.31.1.27,,motorola,false,,,,motorola,moto g(50),,4f1a6cd2-05da-4c01-9ee5-3b5061fe2a37,,,,
172.31.1.28,6c:2b:59:c9:57:5f,Dell Inc.,false,,,,,,,,,,,
172.31.1.29,c8:15:4e:3b:53:30,Intel Corporate,false,,,,,,,,,,,
172.31.1.31,0c:8b:fd:68:f7:77,Intel Corporate,false,,,,,,,,,,,
172.31.1.32,00:1c:7b:dd:a0:cf,Castlenet Technology Inc.,false,,,,,,,,,,,
172.31.1.33,a4:4b:d5:1c:c2:bf,Xiaomi Communications Co Ltd,false,,,,,,,,,,,
172.31.1.34,f4:63:1f:a1:2d:dd,"HUAWEI TECHNOLOGIES CO.,LTD",false,,,,,,,,,,,
172.31.1.37,,,false,,,,,,,,,,,
172.31.1.41,00:8e:f2:bc:6a:f6,NETGEAR,false,,,,,,,,,,,
172.31.1.42,00:0b:82:a2:cf:ea,"Grandstream Networks, Inc.",false,,,,,,,,,,400 Bad Request (lighttpd/1.4.55),
172.31.1.44,78:45:61:c4:c0:33,CyberTAN Technology Inc.,false,,,,,,,,,,,
172.31.1.109,a0:dd:e5:fc:dd:67,SHARP Corporation,false,,,,,,,,SHARP MX-4100N,,,
172.31.1.220,fc:b6:9d:0c:5c:21,"Zhejiang Dahua Technology Co., Ltd.",false,,,,,,,,,,,5.981615
172.31.1.225,00:46:b8:02:d0:0c,,false,,,,,IPCamera,IPCamera - umksmtwbfiu9,Upnp-IPCamera-umksmtwbfiu9,,,,
172.31.1.254,,,false,,lms.local,,,,,,,,400 Bad Request (Apache/2.4.59 (Debian)),
172.31.3.101,18:fd:74:db:b1:c5,Routerboard.com,false,,,,,,,,,,,1.611615
172.31.3.102,00:0c:42:a2:df:a4,Routerboard.com,false,,,,,,,,,,,
192.168.1.1,,,false,,,,,,,,,,,2.496719
